# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
55 5.45 0.946184 23.133 0.955487 45.9313 0.996044 46.1674
56 5.55 0.977104 24.4292 0.919755 48.382 0.973389 48.7554
57 5.65 0.917848 25.691 1.01027 51.1717 0.995312 51.4979
58 5.75 0.970602 27.073 1.04897 54.1717 0.979042 54.2918
59 5.85 1.00759 28.5579 0.982972 57.0815 0.973463 57.1674
60 5.95 0.94586 30 1.00066 60.1459 0.997197 60.2146
61 6.05 0.958415 31.5107 1.02072 63.3777 0.952279 63.2232
62 6.15 0.98547 33.1159 0.993047 66.6266 1.0057 66.5064
63 6.25 0.928675 34.6781 0.992009 69.9785 0.975049 69.794
64 6.35 1.05784 36.515 0.974547 73.3777 1.03583 73.3991
65 6.45 0.982172 38.2747 1.05906 77.1888 1.03982 77.133
66 6.55 1.11037 40.3262 1.02581 80.9957 1.05119 81.0258
67 6.65 0.982577 42.1974 0.934603 84.5708 0.989459 84.8026
68 6.75 1.04117 44.2403 1.00948 88.5494 1.01929 88.8112
69 6.85 1.09171 46.4464 1.00772 92.6395 0.957958 92.691
70 6.95 0.953228 48.4292 1.02207 96.9099 0.956325 96.6781
71 7.05 1.03466 50.6438 1.01724 101.283 1.02743 101.086
72 7.15 1.10729 53.0815 1.06177 105.979 1.01932 105.584
73 7.25 1.16038 55.7082 0.960945 110.348 1.00937 110.163
74 7.35 1.01833 58.0773 0.98549 114.953 1.00326 114.841
75 7.45 0.919354 60.2747 0.994076 119.725 1.04101 119.828
76 7.55 0.99307 62.7124 1.03146 124.811 1.03019 124.897
77 7.65 0.933218 65.0644 1.01993 129.974 1.01788 130.039
78 7.75 1.03872 67.7511 1.03426 135.348 1.02324 135.343
79 7.85 1.05447 70.5494 0.992777 140.639 0.981195 140.562
80 7.95 0.933498 73.0901 1.02527 146.245 1.00544 146.047
81 8.05 0.956588 75.7597 0.968561 151.674 0.990594 151.588
82 8.15 0.984272 78.5751 0.990505 157.365 0.97392 157.172
83 8.25 0.960555 81.3906 0.984863 163.163 1.01328 163.124
