# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
82 8.15 0.91957 74.4893 0.993499 149.253 1.02638 148.979
83 8.25 0.897413 76.9871 1.04863 155.116 1.02396 154.691
84 8.35 0.897121 79.5451 0.999683 160.841 1.00484 160.433
85 8.45 1.07885 82.6953 1.00251 166.721 0.991462 166.236
86 8.55 1.0595 85.8627 0.967757 172.532 1.03788 172.455
87 8.65 0.998678 88.9185 0.952494 178.386 0.993731 178.549
88 8.75 1.01985 92.1116 0.990902 184.618 1.00739 184.871
89 8.85 1.07465 95.5536 1.00599 191.09 0.9881 191.215
90 8.95 1.04291 98.97 0.953634 197.365 0.996866 197.76
91 9.05 0.978981 102.249 0.997108 204.073 0.992859 204.425
92 9.15 1.05297 105.854 1.00476 210.983 0.968149 211.069
